Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,
Venue,SSKC,,,,,,,,,,,,,,,,,,,,,,
Vehicle,143,,,,,,,,,,,,,,,,,,,,,,
Racer,Nicholas Thorne,,,,,,,,,,,,,,,,,,,,,,
Championship,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,
Date,"Sunday, June 19, 2022",,,,,,,,,,,,,,,,,,,,,,
Time,3:42 PM,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,
Duration,951,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,77.2,149.128,211.432,270.088,328.931,387.629,446.908,515.157,574.434,633.224,692.104,750.726,809.236,868.166,932.807,951,,,,,,,
Segment Times,1:17.200,1:11.928,1:02.304,0:58.656,0:58.843,0:58.698,0:59.279,1:08.249,0:59.277,0:58.790,0:58.880,0:58.622,0:58.510,0:58.930,1:04.641,0:18.193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Logger Temperature,Water Temp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,Int Batt Voltage,RPM
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,°C,°C,g,g,g,deg/s,deg/s,deg/s,V,rpm
,,,,,,,,,,,,,,,,,,,,,,,
0.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.13,-0.05,-0.95,13.6,6.8,14.0,3.9,354
0.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.11,-0.05,-0.96,9.3,4.7,9.9,3.9,298
0.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.10,-0.05,-0.98,5.7,3.0,6.4,3.9,298
0.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.10,-0.05,-0.98,3.0,1.7,3.7,3.9,298
0.850,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.10,-0.05,-0.99,1.0,0.9,1.8,3.9,298
0.900,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.09,-0.05,-0.99,-0.2,0.4,0.5,3.9,258
0.950,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.09,-0.05,-0.99,-0.9,0.1,-0.2,3.9,256
1.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.10,-0.05,-0.99,-1.2,0.0,-0.5,3.9,589
1.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.10,-0.04,-0.99,-1.2,0.0,-0.5,3.9,610
1.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.04,-0.99,-1.1,0.1,-0.5,3.9,823
1.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.04,-0.99,-1.0,0.1,-0.4,3.9,1022
1.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.04,-0.99,-0.9,0.2,-0.3,3.9,961
1.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.04,-0.99,-0.8,0.2,-0.2,3.9,1372
1.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.04,-0.99,-0.8,0.3,-0.1,3.9,1755
1.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.04,-0.99,-0.7,0.3,-0.1,3.9,2209
1.400,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.04,-0.99,-0.7,0.3,-0.1,3.9,2641
1.450,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.04,-0.99,-0.7,0.3,-0.1,3.9,2977
1.500,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.04,-0.98,-0.7,0.3,-0.1,3.9,3226
1.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.04,-0.98,-0.7,0.3,-0.1,3.9,2288
1.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.0,-0.14,-0.03,-0.99,-0.7,0.3,-0.1,3.9,3443
1.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.1,-0.16,-0.02,-0.99,-0.7,0.3,-0.1,3.9,3600
1.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.17,-0.02,-0.99,-0.7,0.3,-0.1,3.9,3614
1.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.3,-0.17,-0.02,-0.99,-0.7,0.3,-0.1,3.9,3630
1.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.3,-0.16,-0.02,-0.99,-0.7,0.3,-0.1,3.9,3634
1.850,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.14,-0.03,-0.99,-0.6,0.3,-0.1,3.9,3645
1.900,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.0,-0.12,-0.03,-0.99,-0.6,0.3,-0.1,3.9,3647
1.950,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.10,-0.04,-0.99,-0.5,0.3,-0.0,3.9,3638
2.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.09,-0.05,-0.99,-0.4,0.2,0.0,3.9,3629
2.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.09,-0.05,-0.99,-0.3,0.2,0.0,3.9,3633
2.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.6,-0.09,-0.05,-0.98,-0.2,0.2,0.1,3.9,3635
2.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.10,-0.05,-0.98,-0.2,0.1,0.1,3.9,3662
2.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.11,-0.05,-0.97,-0.2,0.1,0.1,3.9,3655
2.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.11,-0.05,-0.97,-0.2,0.1,0.1,3.9,3668
2.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.05,-0.96,-0.2,0.2,0.0,3.9,3661
2.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.05,-0.96,-0.3,0.2,0.0,3.9,3664
2.400,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.05,-0.96,-0.4,0.2,-0.0,3.9,3660
2.450,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.05,-0.96,-0.4,0.2,-0.0,3.9,3673
2.500,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.12,-0.05,-0.96,-0.5,0.2,-0.1,3.9,3671
2.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.11,-0.05,-0.96,-0.6,0.2,-0.1,3.9,3678
2.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.1,-0.11,-0.05,-0.96,-0.6,0.3,-0.1,3.9,3659
2.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.11,-0.05,-0.97,-0.7,0.3,-0.1,3.9,3673
2.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.4,-0.11,-0.05,-0.97,-0.7,0.3,-0.1,3.9,3693
2.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.6,-0.11,-0.05,-0.98,-0.8,0.3,-0.2,3.9,3671
2.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.8,-0.11,-0.06,-0.98,-0.8,0.3,-0.2,3.9,3658
2.850,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.9,-0.10,-0.06,-0.99,-0.8,0.3,-0.2,3.9,3660
2.900,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.9,-0.10,-0.06,-0.99,-0.8,0.3,-0.2,3.9,3636
2.950,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.8,-0.10,-0.06,-0.99,-0.8,0.3,-0.1,3.9,3667
3.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.7,-0.10,-0.06,-0.99,-0.7,0.3,-0.1,3.9,3660
3.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.5,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3669
3.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.3,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3663
3.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.2,-0.10,-0.06,-0.98,-0.7,0.3,-0.1,3.9,3654
3.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,26.0,-0.10,-0.05,-0.98,-0.7,0.3,-0.1,3.9,3663
3.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.9,-0.10,-0.05,-0.98,-0.7,0.3,-0.1,3.9,3648
3.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.10,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3657
3.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.10,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3680
3.400,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.7,-0.11,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3681
3.450,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.7,-0.11,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3657
3.500,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.8,-0.11,-0.05,-0.98,-0.7,0.2,-0.1,3.9,3638
3.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.8,-0.11,-0.06,-0.99,-0.7,0.2,-0.1,3.9,3655
3.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.9,-0.11,-0.06,-0.99,-0.7,0.2,-0.1,3.9,3650
3.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,25.9,-0.11,-0.06,-0.99,-0.6,0.2,-0.1,3.9,3656
3.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,26.0,-0.10,-0.06,-0.99,-0.6,0.2,-0.1,3.9,3639
3.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,26.1,-0.10,-0.06,-0.99,-0.6,0.2,-0.1,3.9,3636
3.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,26.2,-0.10,-0.06,-0.99,-0.6,0.2,-0.1,3.9,3656
3.850,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.3,26.4,-0.10,-0.07,-0.99,-0.6,0.2,-0.1,3.9,3654
3.900,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.4,-0.09,-0.07,-0.99,-0.7,0.2,-0.1,3.9,3650
3.950,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.4,-0.09,-0.07,-0.99,-0.7,0.2,-0.1,3.9,3654
4.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.4,-0.09,-0.07,-1.00,-0.7,0.2,-0.1,4.0,3648
4.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.3,-0.08,-0.07,-1.00,-0.7,0.2,-0.1,4.0,3648
4.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.2,-0.08,-0.07,-0.99,-0.6,0.2,-0.1,4.0,3635
4.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.1,-0.08,-0.07,-0.99,-0.5,0.2,-0.0,4.0,3647
4.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.0,-0.08,-0.07,-0.99,-0.2,0.2,0.1,4.0,3650
4.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.0,-0.08,-0.07,-0.99,-0.0,0.2,0.2,4.0,3647
4.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.0,-0.09,-0.07,-0.98,0.2,0.2,0.2,4.0,3675
4.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,26.0,-0.10,-0.07,-0.98,0.3,0.2,0.3,4.0,3681
4.400,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.10,-0.07,-0.97,0.4,0.2,0.3,4.0,3699
4.450,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.11,-0.06,-0.97,0.4,0.2,0.3,4.0,3673
4.500,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.11,-0.06,-0.97,0.5,0.2,0.4,4.0,3677
4.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.11,-0.06,-0.97,0.4,0.2,0.3,4.0,3695
4.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.11,-0.06,-0.97,0.3,0.2,0.3,4.0,3693
4.650,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.11,-0.06,-0.97,0.2,0.2,0.3,4.0,3662
4.700,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.10,-0.07,-0.97,0.1,0.2,0.2,4.0,3678
4.750,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.10,-0.07,-0.97,-0.0,0.2,0.2,4.0,3684
4.800,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.2,25.9,-0.10,-0.07,-0.98,-0.2,0.2,0.1,4.0,3705
4.850,1.4698,11,-0.0127,0.0139,-42.0472,26.1492,0.0000,588.4280,0.2000,0.5018,10000.0000,50.51938969,-104.49508341,26.2,26.0,-0.10,-0.07,-0.98,-0.3,0.2,0.0,4.0,3687
4.900,1.4854,11,-0.1035,0.1130,-45.0679,-35.9850,0.0000,587.7789,0.2000,0.5147,10000.0000,50.51939116,-104.49508726,26.2,26.0,-0.10,-0.07,-0.98,-0.4,0.2,-0.0,4.0,3678
4.950,1.5010,11,-0.1943,0.2122,-48.0886,-98.1193,0.0000,587.1299,0.2000,0.5277,10000.0000,50.51939264,-104.49509111,26.2,26.0,-0.10,-0.07,-0.98,-0.5,0.2,-0.1,4.0,3686
5.000,1.3352,11,-0.1964,0.1349,-60.0451,-15.4757,0.0000,586.5998,0.2000,0.4439,10000.0000,50.51939214,-104.49509652,26.2,25.9,-0.10,-0.07,-0.98,-0.6,0.2,-0.1,4.0,3681
5.050,1.1295,11,-0.1791,0.0188,-73.9632,98.9485,0.0000,586.0957,0.2000,0.3389,10000.0000,50.51939121,-104.49510228,26.2,25.9,-0.10,-0.07,-0.98,-0.6,0.2,-0.1,4.0,3687
5.100,0.9342,11,-0.1038,-0.0012,-80.9475,102.0428,0.0000,586.3600,0.2000,0.2995,10000.0000,50.51939343,-104.49510515,26.2,25.9,-0.10,-0.07,-0.98,-0.7,0.2,-0.1,4.0,3675
5.150,0.7411,11,-0.0158,-0.0002,-86.4098,80.6989,0.0000,586.7930,0.2000,0.2745,10000.0000,50.51939634,-104.49510739,26.2,25.9,-0.10,-0.07,-0.98,-0.7,0.2,-0.1,4.0,3682
5.200,0.5889,11,0.0000,0.0000,-66.0958,-12.9993,0.0000,586.8779,0.2000,0.2618,10000.0000,50.51939899,-104.49510730,26.2,25.9,-0.10,-0.07,-0.98,-0.7,0.3,-0.1,4.0,3673
5.250,0.4456,11,0.0000,0.0000,-40.1237,-122.5801,0.0000,586.8863,0.1848,0.2518,10000.0000,50.51940158,-104.49510671,26.2,25.9,-0.10,-0.07,-0.98,-0.7,0.3,-0.1,4.0,3670
5.300,0.3554,11,0.0000,0.0000,-40.8493,-75.6305,0.0000,587.2751,0.1686,0.1994,10000.0000,50.51940484,-104.49510584,26.2,25.9,-0.10,-0.07,-0.98,-0.6,0.3,-0.1,4.0,3682
